"Ido","IPA","Novial"
"A, a","/a/","A, a"
"B, b","/b/","B, b"
"C, c","/ts/","TS, ts"
"CH, ch;","/tʃ/","CH, ch"
"D, d","/d/","D, d"
"E, e","or  or /e/ or  or /e//ɛ/","E, e"
"F, f","/f/","F, f"
"G, g","/ɡ/","G, g"
"Dj, dj","/dʒ/","J, j"
"H, h","/h/","H, h"
"I, i","/i/","I, i"
"J, j","/ʒ/","J, j"
"K, k","/k/","K, k"
"L, l","/l/","L, l"
"M, m","/m/","M, m"
"N, n","/n/","N, n"
"O, o","or  or /o/ or  or /o//ɒ/","O, o"
"P, p","/p/","P, p"
"QU, qu","or  or /kw/ or  or /kw//kv/","QU, qu"
"R, r","/r/","R, r"
"S, s","/s/","S, s (also Z,z)"
"SH, sh","/ʃ/","SH, sh"
"T, t","/t/","T, t"
"U, u","/u/","U, u"
"W, w","/w/","W, w (before a vowel)  W, w (before a vowel)  U, u (after a vowel)"
"V, v","/v/","V, v"
"X, x","or  or /ks/ or  or /ks//ɡz/","X, x"
"Y, y","/j/","Y, y"
"Z, z","/z/","Z, z (also S, s)"
