"Distribution","Size of media (MB)","RAM use (MB)","Boots from CD","Boots from DVD","Installable live CD/DVD","Installable from USB"
"742","","Yes","Yes","Yes","Yes"
"301","","Yes","Yes","Yes","Yes"
"696","?","Yes","No","?",""
"1,024","80","Yes","Yes","Yes","Yes"
"(Minimal)  (DVD)  (Minimal)  (DVD) 603 (Minimal)  (DVD)  (Minimal)  (DVD) 6034,096","","Yes","Yes","Yes (installable since 6.0)","Yes"
"2,150","","No","Yes","Yes","Yes"
"958","","Yes","Yes","Yes","Yes"
"868","Yes","Yes","Yes","Yes"
"655","?","Yes","?","?","?"
"1,650","?","up to version 2.x","Yes","?","?"
"1,434","to   to  256 to   to  2561,024","Yes","Yes","Yes","Yes"
"(Minimal)  (Live DVD)  (Minimal)  (Live DVD) 260 (Minimal)  (Live DVD)  (Minimal)  (Live DVD) 2602,048","up to  up to  128","Yes","Yes","Yes","Yes"
"1,200","512","?","?","Yes","?"
"460","to   to  32 to   to  32128","Yes","No","Yes","Yes"
"1,375","366","No","Yes","Yes","Yes"
"and   and  660 and   and  660688","?","Yes","Yes","Yes","Yes"
"700","to   to  128 to   to  128320","Yes","Yes","Only DVD edition is maintained",""
"4,813","to   to  128 to   to  128500","No","Yes","",""
"?","?","No","No","No","No"
"700","to   to  128 to   to  128768","Yes","Yes","Yes","Yes"
"to   to  473 to   to  4732,200 to   to  473 to   to  4732,200[203]","to   to  256 to   to  2561,024","Yes","Yes","Yes","Yes"
"to   to  700 to   to  7004,000","to   to  128 to   to  128512","Yes","Yes","Yes","Yes"
"2,000","?","No","Yes","Yes","Yes"
"18","≈64","Yes","Yes","Yes","Yes"
"700","to   to  192 to   to  192512","Yes","","Yes",""
"700","to   to  128 to   to  128768","Yes","Yes","Yes","Yes"
"min 4","min 16","No","No","No","No"
"to   to  400 to   to  4003,300","?","Yes","Yes","Yes","Yes"
"to   to  1,256 to   to  1,2561,276","to   to  256 to   to  2561,024","Yes","Yes","Yes","Yes"
"to   to  130 to   to  130700","to   to  96 to   to  96512","Yes","Yes","Yes","Yes"
"and   and  666 and   and  666700","to   to  48 to   to  4896","Yes","Yes","By hand By hand [204]","By hand"
"to   to  224 to   to  224373","min 36","?","?","Yes","Yes"
"235","to   to  32 to   to  32192","Yes","Yes","Yes","Yes"
"542","","Yes","Yes","Yes","Yes"
"695","","Yes","Yes","Yes","Yes"
"2,400","","No","Yes","Yes","Yes"
"to   to  431 to   to  4312,300 to   to  431 to   to  4312,300[205]","640","Yes","Yes","Yes","Yes"
"2,600","to   to  64 to   to  641,024 to   to  64 to   to  641,024[206]","Yes","Yes","Yes","Yes"
"200","to   to  96 to   to  96320","Yes","Yes","","Yes"
"1,200","1,024","No","Yes","Yes","Yes"
"459","","Yes","Yes","Yes","Yes"
"35","to   to  24 to   to  24192","Yes","Yes","Yes","Yes"
"≈900","≈1,024","No","Yes","Yes","Yes (when run from DVD)"
"16","46","Yes","Yes","Yes","Yes"
"64","4","Yes","Yes","By SliTaz","By SliTaz"
"Tor-ramdisk","5","or >  or > 256 or >  or > 256[207]","Yes","Yes","Yes","Yes"
"1,500  1,500[208]","384","Yes","Yes","Yes","Yes"
"212","~173","Yes","Yes","Yes","Yes"
"1,700  1,700[209]","384","Yes","Yes","Yes","Yes"
"3,500","?","No","Yes","Yes","?"
"2,900  2,900[210]","","Yes","Yes","Yes",""
"1,400  1,400[211]","384","Yes","Yes","Yes","Yes"
"700","to   to  256 to   to  2561,024","Yes","No","Yes","Yes"
"600","256","Yes","Yes","Yes","Yes"
"1,200  1,200[212]","256","Yes","Yes","Yes","Yes"

