"Grapheme","Quantity","Norwegian","Danish"

"[ɑː]","[æː]","[ʁɑː]","[ɑː]"
"[ɑ]",",  ,  [a > æ],  ,  [a > æ][ɑ],  ,  [a > æ],  ,  [a > æ][ɑ]1)","[ʁɑ]","[ɑː]"
"[eː]","[eː]","[ʁæː(ɪ̯)]","[eːɐ, ɛːɐ]"
"[ɛ]    [ɛ]2)","[ɛ]",",   ,   [ʁa > ʁɑ],   ,   [ʁa > ʁɑ][ʁa > ʁaɪ̯],   ,   [ʁa > ʁɑ],   ,   [ʁa > ʁɑ][ʁa > ʁaɪ̯]2)3)","[aɐ]"
"[ə]","[ə]","[ɐ]","[ɐ]"
"[iː]","[iː]","[ʁiː]","[iːɐ]"
"[ɪ]",",  ,  [e],  ,  [e][i]",",  ,  [ʁæ],  ,  [ʁæ][ʁi]","[iɐ]"
"[uː]    [uː]4)","[oː]","[ʁoː]","[oːɐ]"
"[ɔ]    [ɔ]5)",",   ,   [ʌ],   ,   [ʌ][ɔ],   ,   [ʌ],   ,   [ʌ][ɔ]6)","[ʁʌ]",",  ,  [ɒː],  ,  [ɒː][o]"
"[ʉː]","[uː]","[ʁuː > ʁoː]","[uːɐ]"
",  ,  [ʉ],  ,  [ʉ][u]",",   ,  [ɔ] ,   ,  [ɔ]7) ,   ,  [ɔ] ,   ,  [ɔ]7)[u]",",   ,  [ʁɔ] ,   ,  [ʁɔ]7) ,   ,  [ʁɔ] ,   ,  [ʁɔ]7)[ʁu > ʁo]","[uɐ]"
"[yː]","[yː]","[ʁyː]","[yːɐ]"
"[y]",",   ,  [ø] ,   ,  [ø]7) ,   ,  [ø] ,   ,  [ø]7)[y]",",   ,  [ʁœ] ,   ,  [ʁœ]7) ,   ,  [ʁœ] ,   ,  [ʁœ]7)[ʁy]",",   ,   [yɐ],   ,   [yɐ][ɶɐ],   ,   [yɐ],   ,   [yɐ][ɶɐ]8)"
"[æː]    [æː]9)","[ɛː]","[ʁæː(ɪ̯)]","[ɛːɐ]"
"[æ]","[ɛ]",",   ,   [ʁa > ɑ],   ,   [ʁa > ɑ][ʁa > ʁaɪ̯],   ,   [ʁa > ɑ],   ,   [ʁa > ɑ][ʁa > ʁaɪ̯]3)","[aɐ]"
"[øː]","[øː]","[ʁœː]","[øːɐ]"
"[œ]","[ø]",",   ,   [ʁœ],   ,   [ʁœ][ʁɶ],   ,   [ʁœ],   ,   [ʁœ][ʁɶ]10)","[ɶɐ]"
"[oː]","[ɔː]","[ʁɔː]","[ɒː]"
"[ɔ]","[ʌ]","[ʁʌ]","[ɒː]"
