"Software","License","Other platforms","DRM formats supported"
"Aldiko","Proprietary","iOS","Adobe DRM"
"AlReaderAlReader[1]","Proprietary","None","?"
"Bookari","Proprietary","iOS","Adobe DRM"
"Cool ReaderCool Reader[2]","GPLv2",", , , , , , , , Android, , , , , , , , AndroidWindows, , , , , , , , Android, , , , , , , , AndroidWindowsMac OS X, , , , , , , , Android, , , , , , , , AndroidWindows, , , , , , , , Android, , , , , , , , AndroidWindowsMac OS XLinux, , , , , , , , Android, , , , , , , , AndroidWindows, , , , , , , , Android, , , , , , , , AndroidWindowsMac OS X, , , , , , , , Android, , , , , , , , AndroidWindows, , , , , , , , Android, , , , , , , , AndroidWindowsMac OS XLinuxPocketBook","?"
"Ebook ReaderEbook Reader[3]","Proprietary",", ,  (side loaded), ,  (side loaded)iOS, ,  (side loaded), ,  (side loaded)iOSBlackBerry 10+, ,  (side loaded), ,  (side loaded)iOS, ,  (side loaded), ,  (side loaded)iOSBlackBerry 10+Kindle Fire","Adobe DRM"
"eReader Prestigio","Proprietary","None","Adobe DRM"
"FBReader","Proprietary",", , , , , , Windows, , , , , , WindowsLinux, , , , , , Windows, , , , , , WindowsLinuxPDAs, , , , , , Windows, , , , , , WindowsLinux, , , , , , Windows, , , , , , WindowsLinuxPDAsMac OS X","None"
"Google Play Books","Proprietary",", , Web application, , Web applicationiOS","Adobe DRM"
"Kindle","Proprietary",", , , , , , , , Web application, , , , , , , , Web applicationiOS, , , , , , , , Web application, , , , , , , , Web applicationiOSBlackBerry, , , , , , , , Web application, , , , , , , , Web applicationiOS, , , , , , , , Web application, , , , , , , , Web applicationiOSBlackBerryMac OS X, , , , , , , , Web application, , , , , , , , Web applicationiOS, , , , , , , , Web application, , , , , , , , Web applicationiOSBlackBerry, , , , , , , , Web application, , , , , , , , Web applicationiOS, , , , , , , , Web application, , , , , , , , Web applicationiOSBlackBerryMac OS XWindows","Amazon DRM"
"Kobo","Proprietary",", , , , Windows, , , , WindowsMac OS X, , , , Windows, , , , WindowsMac OS XiOS","Adobe DRM"
"KOReaderKOReader[4]","AGPLv3",", , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle Fire, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle FireBQ Cervantes, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle Fire, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle FireBQ CervantesPocketBook, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle Fire, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle FireBQ Cervantes, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle Fire, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInk, , , , , , , , , , Android, , , , , , , , , , AndroidKindle eInkKindle FireBQ CervantesPocketBookKobo","None"
"Lektz","Proprietary",", , , , , , Web application, , , , , , Web applicationMac OS X, , , , , , Web application, , , , , , Web applicationMac OS XiOS, , , , , , Web application, , , , , , Web applicationMac OS X, , , , , , Web application, , , , , , Web applicationMac OS XiOSWindows","Lektz DRM"
"LibreraLibrera[5]","GPL","None","None"
"MReader","Proprietary","None","None"
"OverDrive Media ConsoleOverDrive Media Console[6]","Proprietary",", , , , , , Chromebook, , , , , , ChromebookiOS, , , , , , Chromebook, , , , , , ChromebookiOSMac OS X, , , , , , Chromebook, , , , , , ChromebookiOS, , , , , , Chromebook, , , , , , ChromebookiOSMac OS XWindows",",  ,  Adobe DRM,  ,  Adobe DRMOverDrive"
"Snapplify","Proprietary",", , Web application, , Web applicationiOS",", Snapplify SnappSafe DRM , Snapplify SnappSafe DRM Adobe DRM"
